name;slug;value;date_of_information;ranking;region
Afghanistan;afghanistan;5.5;2016;176;South Asia
Albania;albania;21.7;2016;85;Europe
Algeria;algeria;27.4;2016;38;Africa
Andorra;andorra;25.6;2016;49;Europe
Angola;angola;8.2;2016;154;Africa
Antigua and Barbuda;antigua-and-barbuda;18.9;2016;113;Central America and the Caribbean
Argentina;argentina;28.3;2016;30;South America
Armenia;armenia;20.2;2016;101;Middle East
Australia;australia;29;2016;27;Australia and Oceania
Austria;austria;20.1;2016;105;Europe
Azerbaijan;azerbaijan;19.9;2016;106;Middle East
Bahamas;bahamas-the;31.6;2016;21;Central America and the Caribbean
Bahrain;bahrain;29.8;2016;25;Middle East
Bangladesh;bangladesh;3.6;2016;191;South Asia
Barbados;barbados;23.1;2016;67;Central America and the Caribbean
Belarus;belarus;24.5;2016;58;Europe
Belgium;belgium;22.1;2016;81;Europe
Belize;belize;24.1;2016;60;Central America and the Caribbean
Benin;benin;9.6;2016;142;Africa
Bhutan;bhutan;6.4;2016;167;South Asia
Bolivia;bolivia;20.2;2016;102;South America
Bosnia and Herzegovina;bosnia-and-herzegovina;17.9;2016;118;Europe
Botswana;botswana;18.9;2016;114;Africa
Brazil;brazil;22.1;2016;82;South America
Brunei;brunei;14.1;2016;129;East and Southeast Asia
Bulgaria;bulgaria;25;2016;53;Europe
Burkina Faso;burkina-faso;5.6;2016;175;Africa
Burma;burma;5.8;2016;172;East and Southeast Asia
Burundi;burundi;5.4;2016;178;Africa
Cabo Verde;cabo-verde;11.8;2016;134;Africa
Cambodia;cambodia;3.9;2016;188;East and Southeast Asia
Cameroon;cameroon;11.4;2016;135;Africa
Canada;canada;29.4;2016;26;North America
Central African Republic;central-african-republic;7.5;2016;159;Africa
Chad;chad;6.1;2016;170;Africa
Chile;chile;28;2016;32;South America
China;china;6.2;2016;169;East and Southeast Asia
Colombia;colombia;22.3;2016;78;South America
Comoros;comoros;7.8;2016;157;Africa
Congodemocraticrepublicof;congo-democratic-republic-of-the;6.7;2016;164;Africa
CongoRepublicof;congo-republic-of-the;9.6;2016;143;Africa
Cook Islands;cook-islands;55.9;2016;2;Australia and Oceania
Costa Rica;costa-rica;25.7;2016;48;Central America and the Caribbean
Cote d'Ivoire;cote-divoire;10.3;2016;138;Africa
Croatia;croatia;24.4;2016;59;Europe
Cuba;cuba;24.6;2016;56;Central America and the Caribbean
Cyprus;cyprus;21.8;2016;84;Europe
Czech;czechia;26;2016;46;Europe
Denmark;denmark;19.7;2016;109;Europe
Djibouti;djibouti;13.5;2016;131;Africa
Dominica;dominica;27.9;2016;33;Central America and the Caribbean
Dominican Republic;dominican-republic;27.6;2016;37;Central America and the Caribbean
Ecuador;ecuador;19.9;2016;107;South America
Egypt;egypt;32;2016;18;Africa
El Salvador;el-salvador;24.6;2016;57;Central America and the Caribbean
Equatorial Guinea;equatorial-guinea;8;2016;156;Africa
Eritrea;eritrea;5;2016;183;Africa
Estonia;estonia;21.2;2016;92;Europe
Eswatini;eswatini;16.5;2016;124;Africa
Ethiopia;ethiopia;4.5;2016;185;Africa
Fiji;fiji;30.2;2016;24;Australia and Oceania
Finland;finland;22.2;2016;80;Europe
France;france;21.6;2016;87;Europe
Gabon;gabon;15;2016;127;Africa
Gambia;gambia-the;10.3;2016;139;Africa
Georgia;georgia;21.7;2016;86;Middle East
Germany;germany;22.3;2016;79;Europe
Ghana;ghana;10.9;2016;136;Africa
Greece;greece;24.9;2016;54;Europe
Grenada;grenada;21.3;2016;90;Central America and the Caribbean
Guatemala;guatemala;21.2;2016;93;Central America and the Caribbean
Guinea;guinea;7.7;2016;158;Africa
Guinea-Bissau;guinea-bissau;9.5;2016;144;Africa
Guyana;guyana;20.2;2016;103;South America
Haiti;haiti;22.7;2016;72;Central America and the Caribbean
Honduras;honduras;21.4;2016;89;Central America and the Caribbean
Hungary;hungary;26.4;2016;41;Europe
Iceland;iceland;21.9;2016;83;Europe
India;india;3.9;2016;189;South Asia
Indonesia;indonesia;6.9;2016;162;East and Southeast Asia
Iran;iran;25.8;2016;47;Middle East
Iraq;iraq;30.4;2016;23;Middle East
Ireland;ireland;25.3;2016;51;Europe
Israel;israel;26.1;2016;44;Middle East
Italy;italy;19.9;2016;108;Europe
Jamaica;jamaica;24.7;2016;55;Central America and the Caribbean
Japan;japan;4.3;2016;186;East and Southeast Asia
Jordan;jordan;35.5;2016;13;Middle East
Kazakhstan;kazakhstan;21;2016;94;Central Asia
Kenya;kenya;7.1;2016;161;Africa
Kiribati;kiribati;46;2016;9;Australia and Oceania
Korea, North;korea-north;6.8;2016;163;East and Southeast Asia
Korea;korea-south;4.7;2016;184;East and Southeast Asia
Kuwait;kuwait;37.9;2016;11;Middle East
Kyrgyzstan;kyrgyzstan;16.6;2016;121;Central Asia
Laos;laos;5.3;2016;179;East and Southeast Asia
Latvia;latvia;23.6;2016;65;Europe
Lebanon;lebanon;32;2016;19;Middle East
Lesotho;lesotho;16.6;2016;122;Africa
Liberia;liberia;9.9;2016;141;Africa
Libya;libya;32.5;2016;16;Africa
Lithuania;lithuania;26.3;2016;43;Europe
Luxembourg;luxembourg;22.6;2016;74;Europe
Madagascar;madagascar;5.3;2016;180;Africa
Malawi;malawi;5.8;2016;173;Africa
Malaysia;malaysia;15.6;2016;125;East and Southeast Asia
Maldives;maldives;8.6;2016;148;South Asia
Mali;mali;8.6;2016;149;Africa
Malta;malta;28.9;2016;28;Europe
Marshall Islands;marshall-islands;52.9;2016;4;Australia and Oceania
Mauritania;mauritania;12.7;2016;132;Africa
Mauricio;mauritius;10.8;2016;137;Africa
Mexico;mexico;28.9;2016;29;North America
Micronesia;micronesia-federated-states-of;45.8;2016;10;Australia and Oceania
Moldova;moldova;18.9;2016;115;Europe
Mongolia;mongolia;20.6;2016;96;East and Southeast Asia
Montenegro;montenegro;23.3;2016;66;Europe
Morocco;morocco;26.1;2016;45;Africa
Mozambique;mozambique;7.2;2016;160;Africa
Namibia;namibia;17.2;2016;119;Africa
Nauru;nauru;61;2016;1;Australia and Oceania
Nepal;nepal;4.1;2016;187;South Asia
Netherlands;netherlands;20.4;2016;99;Europe
New Zealand;new-zealand;30.8;2016;22;Australia and Oceania
Nicaragua;nicaragua;23.7;2016;63;Central America and the Caribbean
Niger;niger;5.5;2016;177;Africa
Nigeria;nigeria;8.9;2016;145;Africa
Niue;niue;50;2016;6;Australia and Oceania
Macedonia;north-macedonia;22.4;2016;77;Europe
Norway;norway;23.1;2016;68;Europe
Oman;oman;27;2016;39;Middle East
Pakistan;pakistan;8.6;2016;150;South Asia
Palau;palau;55.3;2016;3;Australia and Oceania
Panama;panama;22.7;2016;73;Central America and the Caribbean
Papua New Guinea;papua-new-guinea;21.3;2016;91;East and Southeast Asia
Paraguay;paraguay;20.3;2016;100;South America
Peru;peru;19.7;2016;110;South America
Philippines;philippines;6.4;2016;168;East and Southeast Asia
Poland;poland;23.1;2016;69;Europe
Portugal;portugal;20.8;2016;95;Europe
Qatar;qatar;35.1;2016;15;Middle East
Romania;romania;22.5;2016;75;Europe
Russia;russia;23.1;2016;70;Central Asia
Rwanda;rwanda;5.8;2016;174;Africa
Saint Kitts and Nevis;saint-kitts-and-nevis;22.9;2016;71;Central America and the Caribbean
Saint Lucia;saint-lucia;19.7;2016;111;Central America and the Caribbean
Saint Vincent and the Grenadines;saint-vincent-and-the-grenadines;23.7;2016;64;Central America and the Caribbean
Samoa;samoa;47.3;2016;8;Australia and Oceania
SaoTomeandPrincipe;sao-tome-and-principe;12.4;2016;133;Africa
Saudi Arabia;saudi-arabia;35.4;2016;14;Middle East
Senegal;senegal;8.8;2016;146;Africa
Serbia;serbia;21.5;2016;88;Europe
Seychelles;seychelles;14;2016;130;Africa
Sierra Leone;sierra-leone;8.7;2016;147;Africa
Singapore;singapore;6.1;2016;171;East and Southeast Asia
Slovakia;slovakia;20.5;2016;98;Europe
Slovenia;slovenia;20.2;2016;104;Europe
Solomon Islands;solomon-islands;22.5;2016;76;Australia and Oceania
Somalia;somalia;8.3;2016;153;Africa
South Africa;south-africa;28.3;2016;31;Africa
South Sudan;south-sudan;6.6;2014;165;Africa
Spain;spain;23.8;2016;62;Europe
Sri Lanka;sri-lanka;5.2;2016;182;South Asia
Sudan;sudan;6.6;2014;166;Africa
Suriname;suriname;26.4;2016;42;South America
Sweden;sweden;20.6;2016;97;Europe
Switzerland;switzerland;19.5;2016;112;Europe
Syria;syria;27.8;2016;35;Middle East
Tajikistan;tajikistan;14.2;2016;128;Central Asia
Tanzania;tanzania;8.4;2016;151;Africa
Thailand;thailand;10;2016;140;East and Southeast Asia
Timorleste;timor-leste;3.8;2016;190;East and Southeast Asia
Togo;togo;8.4;2016;152;Africa
Tonga;tonga;48.2;2016;7;Australia and Oceania
TrinidadandTobago;trinidad-and-tobago;18.6;2016;116;Central America and the Caribbean
Tunisia;tunisia;26.9;2016;40;Africa
Turkey;turkey-turkiye;32.1;2016;17;Middle East
Turkmenistan;turkmenistan;18.6;2016;117;Central Asia
Tuvalu;tuvalu;51.6;2016;5;Australia and Oceania
Uganda;uganda;5.3;2016;181;Africa
Ukraine;ukraine;24.1;2016;61;Europe
United Arab Emirates;united-arab-emirates;31.7;2016;20;Middle East
United Kingdom;united-kingdom;27.8;2016;36;Europe
UnitedStates;united-states;36.2;2016;12;North America
Uruguay;uruguay;27.9;2016;34;South America
Uzbekistan;uzbekistan;16.6;2016;123;Central Asia
Vanuatu;vanuatu;25.2;2016;52;Australia and Oceania
Venezuela;venezuela;25.6;2016;50;South America
Vietnam;vietnam;2.1;2016;192;East and Southeast Asia
Yemen;yemen;17.1;2016;120;Middle East
Zambia;zambia;8.1;2016;155;Africa
Zimbabwe;zimbabwe;15.5;2016;126;Africa
